,geocode,country,province,district,subdistrict,postcode,lon,lat,elevation,road,road_lon,road_lat,road_char
9623,110505,ประเทศไทย,จ.สมุทรปราการ,อ.พระสมุทรเจดีย์,ต.ในคลองบางปลากด,10290,100.56541,13.593695,7,ซอยวัดใหญ่,100.565338,13.593748,6.0
9624,110301,ประเทศไทย,จ.สมุทรปราการ,อ.บางพลี,ต.บางพลีใหญ่,10540,100.71339,13.611799,3,ถนนสุขาภิบาล 6,100.71331,13.611815,5.0
9625,110505,ประเทศไทย,จ.สมุทรปราการ,อ.พระสมุทรเจดีย์,ต.ในคลองบางปลากด,10290,100.56455,13.594802,3,ซอยวัดแค,100.56456,13.594794,6.0
9626,110403,ประเทศไทย,จ.สมุทรปราการ,อ.พระประแดง,ต.บางจาก,10130,100.54598,13.614847,4,สุขสวัสดิ์ 78,100.54599,13.614834,6.0
9627,110403,ประเทศไทย,จ.สมุทรปราการ,อ.พระประแดง,ต.บางจาก,10130,100.538635,13.622791,8,ถนนสุขสวัสดิ์,100.538742,13.622891,3.0
9628,110407,ประเทศไทย,จ.สมุทรปราการ,อ.พระประแดง,ต.สำโรงใต้,10130,100.58722,13.6441765,6,,,,
9629,110308,ประเทศไทย,จ.สมุทรปราการ,อ.บางพลี,ต.ราชาเทวะ,10540,100.735985,13.7068405,5,ถนนกิ่งแก้ว,100.736076,13.706796,4.0
9630,110101,ประเทศไทย,จ.สมุทรปราการ,อ.เมืองสมุทรปราการ,ต.ปากน้ำ,10270,100.59746,13.592959,9,ถนนวัดกลาง,100.597466,13.592977,5.0
9631,110102,ประเทศไทย,จ.สมุทรปราการ,อ.เมืองสมุทรปราการ,ต.สำโรงเหนือ,10270,100.62761,13.631806,8,ถนนวัดด่านสำโรง,100.627579,13.631737,5.0
9632,110102,ประเทศไทย,จ.สมุทรปราการ,อ.เมืองสมุทรปราการ,ต.สำโรงเหนือ,10270,100.60492,13.644825,4,ซอยสำโรงเหนือ 23,100.604927,13.644821,6.0
9633,110505,ประเทศไทย,จ.สมุทรปราการ,อ.พระสมุทรเจดีย์,ต.ในคลองบางปลากด,10290,100.56541,13.593695,7,ซอยวัดใหญ่,100.565338,13.593748,6.0
9634,110301,ประเทศไทย,จ.สมุทรปราการ,อ.บางพลี,ต.บางพลีใหญ่,10540,100.71339,13.611799,3,ถนนสุขาภิบาล 6,100.71331,13.611815,5.0
9635,110505,ประเทศไทย,จ.สมุทรปราการ,อ.พระสมุทรเจดีย์,ต.ในคลองบางปลากด,10290,100.56455,13.594802,3,ซอยวัดแค,100.56456,13.594794,6.0
9636,110403,ประเทศไทย,จ.สมุทรปราการ,อ.พระประแดง,ต.บางจาก,10130,100.54598,13.614847,4,สุขสวัสดิ์ 78,100.54599,13.614834,6.0
9637,110403,ประเทศไทย,จ.สมุทรปราการ,อ.พระประแดง,ต.บางจาก,10130,100.538635,13.622791,8,ถนนสุขสวัสดิ์,100.538742,13.622891,3.0
9638,110407,ประเทศไทย,จ.สมุทรปราการ,อ.พระประแดง,ต.สำโรงใต้,10130,100.58722,13.6441765,6,,,,
9639,110308,ประเทศไทย,จ.สมุทรปราการ,อ.บางพลี,ต.ราชาเทวะ,10540,100.735985,13.7068405,5,ถนนกิ่งแก้ว,100.736076,13.706796,4.0
9640,110101,ประเทศไทย,จ.สมุทรปราการ,อ.เมืองสมุทรปราการ,ต.ปากน้ำ,10270,100.59746,13.592959,9,ถนนวัดกลาง,100.597466,13.592977,5.0
9641,110102,ประเทศไทย,จ.สมุทรปราการ,อ.เมืองสมุทรปราการ,ต.สำโรงเหนือ,10270,100.62761,13.631806,8,ถนนวัดด่านสำโรง,100.627579,13.631737,5.0
9642,110102,ประเทศไทย,จ.สมุทรปราการ,อ.เมืองสมุทรปราการ,ต.สำโรงเหนือ,10270,100.60492,13.644825,4,ซอยสำโรงเหนือ 23,100.604927,13.644821,6.0
9643,110505,ประเทศไทย,จ.สมุทรปราการ,อ.พระสมุทรเจดีย์,ต.ในคลองบางปลากด,10290,100.56541,13.593695,7,ซอยวัดใหญ่,100.565338,13.593748,6.0
9644,110301,ประเทศไทย,จ.สมุทรปราการ,อ.บางพลี,ต.บางพลีใหญ่,10540,100.71339,13.611799,3,ถนนสุขาภิบาล 6,100.71331,13.611815,5.0
9645,110505,ประเทศไทย,จ.สมุทรปราการ,อ.พระสมุทรเจดีย์,ต.ในคลองบางปลากด,10290,100.56455,13.594802,3,ซอยวัดแค,100.56456,13.594794,6.0
9646,110403,ประเทศไทย,จ.สมุทรปราการ,อ.พระประแดง,ต.บางจาก,10130,100.54598,13.614847,4,สุขสวัสดิ์ 78,100.54599,13.614834,6.0
9647,110403,ประเทศไทย,จ.สมุทรปราการ,อ.พระประแดง,ต.บางจาก,10130,100.538635,13.622791,8,ถนนสุขสวัสดิ์,100.538742,13.622891,3.0
9648,110407,ประเทศไทย,จ.สมุทรปราการ,อ.พระประแดง,ต.สำโรงใต้,10130,100.58722,13.6441765,6,,,,
9649,110308,ประเทศไทย,จ.สมุทรปราการ,อ.บางพลี,ต.ราชาเทวะ,10540,100.735985,13.7068405,5,ถนนกิ่งแก้ว,100.736076,13.706796,4.0
9650,110101,ประเทศไทย,จ.สมุทรปราการ,อ.เมืองสมุทรปราการ,ต.ปากน้ำ,10270,100.59746,13.592959,9,ถนนวัดกลาง,100.597466,13.592977,5.0
9651,110102,ประเทศไทย,จ.สมุทรปราการ,อ.เมืองสมุทรปราการ,ต.สำโรงเหนือ,10270,100.62761,13.631806,8,ถนนวัดด่านสำโรง,100.627579,13.631737,5.0
9652,110102,ประเทศไทย,จ.สมุทรปราการ,อ.เมืองสมุทรปราการ,ต.สำโรงเหนือ,10270,100.60492,13.644825,4,ซอยสำโรงเหนือ 23,100.604927,13.644821,6.0
